Fetched 1000 contributors.

173. Ryan Davis (zenspider) — https://contributors.rubyonrails.org/contributors/ryan-davis-zenspider/commits (since 22 Dec 2004, commits 45)
174. Angelo Capilleri — https://contributors.rubyonrails.org/contributors/angelo-capilleri/commits (since 12 May 2012, commits 44)
175. Chris Oliver — https://contributors.rubyonrails.org/contributors/chris-oliver/commits (since 12 Mar 2011, commits 44)
176. Zuhao Wan — https://contributors.rubyonrails.org/contributors/zuhao-wan/commits (since 09 Mar 2014, commits 44)
177. Andreas Scherer — https://contributors.rubyonrails.org/contributors/andreas-scherer/commits (since 10 Feb 2009, commits 43)
178. Jonathan del Strother — https://contributors.rubyonrails.org/contributors/jonathan-del-strother/commits (since 09 Oct 2006, commits 43)
179. Karel Minařík — https://contributors.rubyonrails.org/contributors/karel-minarik/commits (since 10 Oct 2008, commits 43)
180. Richard Hulse — https://contributors.rubyonrails.org/contributors/richard-hulse/commits (since 01 Jul 2011, commits 43)
181. Santiago Bartesaghi — https://contributors.rubyonrails.org/contributors/santiago-bartesaghi/commits (since 22 Aug 2019, commits 43)
182. Santosh Wadghule — https://contributors.rubyonrails.org/contributors/santosh-wadghule/commits (since 08 May 2014, commits 43)
183. kenta-s — https://contributors.rubyonrails.org/contributors/kenta-s/commits (since 16 Mar 2016, commits 42)
184. Norman Clarke — https://contributors.rubyonrails.org/contributors/norman-clarke/commits (since 09 Apr 2010, commits 42)
185. Shodai Suzuki — https://contributors.rubyonrails.org/contributors/shodai-suzuki/commits (since 19 Feb 2019, commits 42)
186. Franck Verrot — https://contributors.rubyonrails.org/contributors/franck-verrot/commits (since 16 May 2010, commits 41)
187. Jonathan Viney — https://contributors.rubyonrails.org/contributors/jonathan-viney/commits (since 09 Nov 2005, commits 41)
188. Josef Šimánek — https://contributors.rubyonrails.org/contributors/josef-simanek/commits (since 10 Oct 2011, commits 41)
189. Kevin Newton — https://contributors.rubyonrails.org/contributors/kevin-newton/commits (since 05 May 2015, commits 41)
190. Tom Ward — https://contributors.rubyonrails.org/contributors/tom-ward/commits (since 09 Jul 2005, commits 41)
191. Brian Cardarella — https://contributors.rubyonrails.org/contributors/brian-cardarella/commits (since 10 Sep 2010, commits 40)
192. Mark J. Titorenko — https://contributors.rubyonrails.org/contributors/mark-j-titorenko/commits (since 11 Jun 2007, commits 39)
193. Ralph Shnelvar — https://contributors.rubyonrails.org/contributors/ralph-shnelvar/commits (since 24 Jul 2011, commits 39)
194. Sharang Dashputre — https://contributors.rubyonrails.org/contributors/sharang-dashputre/commits (since 01 Sep 2018, commits 39)
195. Andrew Kaspick — https://contributors.rubyonrails.org/contributors/andrew-kaspick/commits (since 09 Oct 2005, commits 38)
196. Brian Lopez — https://contributors.rubyonrails.org/contributors/brian-lopez/commits (since 17 May 2009, commits 38)
197. Matt Jankowski — https://contributors.rubyonrails.org/contributors/matt-jankowski/commits (since 27 Jan 2011, commits 38)
198. Rashmi Yadav — https://contributors.rubyonrails.org/contributors/rashmi-yadav/commits (since 25 Apr 2011, commits 38)
199. Uģis Ozols — https://contributors.rubyonrails.org/contributors/ugis-ozols/commits (since 03 Jul 2010, commits 38)
200. Vinicius Stock — https://contributors.rubyonrails.org/contributors/vinicius-stock/commits (since 20 Apr 2018, commits 38)
201. Chris Kampmeier — https://contributors.rubyonrails.org/contributors/chris-kampmeier/commits (since 29 May 2007, commits 37)
202. Haroon Ahmed — https://contributors.rubyonrails.org/contributors/haroon-ahmed/commits (since 08 Jan 2019, commits 37)
203. Tore Darell — https://contributors.rubyonrails.org/contributors/tore-darell/commits (since 26 Sep 2008, commits 37)
204. Ghouse Mohamed — https://contributors.rubyonrails.org/contributors/ghouse-mohamed/commits (since 10 Feb 2022, commits 36)
205. John Firebaugh — https://contributors.rubyonrails.org/contributors/john-firebaugh/commits (since 25 Sep 2010, commits 36)
206. Thiago Pradi — https://contributors.rubyonrails.org/contributors/thiago-pradi/commits (since 14 Jun 2010, commits 36)
207. Bob Silva — https://contributors.rubyonrails.org/contributors/bob-silva/commits (since 10 Feb 2006, commits 35)
208. Erik Michaels-Ober — https://contributors.rubyonrails.org/contributors/erik-michaels-ober/commits (since 09 Sep 2010, commits 35)
209. Jeff Dean — https://contributors.rubyonrails.org/contributors/jeff-dean/commits (since 30 May 2008, commits 35)
210. Ken Collins — https://contributors.rubyonrails.org/contributors/ken-collins/commits (since 28 Aug 2008, commits 35)
211. Mike Perham — https://contributors.rubyonrails.org/contributors/mike-perham/commits (since 28 Aug 2010, commits 35)
212. Philip Arndt — https://contributors.rubyonrails.org/contributors/philip-arndt/commits (since 29 Jan 2011, commits 35)
213. Richard Macklin — https://contributors.rubyonrails.org/contributors/richard-macklin/commits (since 06 Feb 2018, commits 35)
214. Roque Pinel — https://contributors.rubyonrails.org/contributors/roque-pinel/commits (since 17 May 2015, commits 35)
215. Andre Arko — https://contributors.rubyonrails.org/contributors/andre-arko/commits (since 13 May 2008, commits 34)
216. Bob Remeika — https://contributors.rubyonrails.org/contributors/bob-remeika/commits (since 27 Jan 2010, commits 34)
217. Chris Salzberg — https://contributors.rubyonrails.org/contributors/chris-salzberg/commits (since 08 Oct 2017, commits 34)
218. Jack Danger Canty — https://contributors.rubyonrails.org/contributors/jack-danger-canty/commits (since 06 May 2007, commits 34)
219. Ryunosuke Sato — https://contributors.rubyonrails.org/contributors/ryunosuke-sato/commits (since 04 Jan 2013, commits 34)
220. Takayuki Nakata — https://contributors.rubyonrails.org/contributors/takayuki-nakata/commits (since 10 Jul 2019, commits 34)
221. Erik St. Martin — https://contributors.rubyonrails.org/contributors/erik-st-martin/commits (since 27 Jan 2010, commits 33)
222. Juanjo Bazán — https://contributors.rubyonrails.org/contributors/juanjo-bazan/commits (since 17 Aug 2007, commits 33)
223. Kevin Clark — https://contributors.rubyonrails.org/contributors/kevin-clark/commits (since 21 Jun 2005, commits 33)
224. Kevin McPhillips — https://contributors.rubyonrails.org/contributors/kevin-mcphillips/commits (since 14 Apr 2015, commits 33)
225. Sam Pohlenz — https://contributors.rubyonrails.org/contributors/sam-pohlenz/commits (since 23 Nov 2008, commits 33)
226. Thillai Arasu — https://contributors.rubyonrails.org/contributors/thillai-arasu/commits (since 17 Feb 2011, commits 33)
227. Bart de Water — https://contributors.rubyonrails.org/contributors/bart-de-water/commits (since 19 Feb 2015, commits 32)
228. lulalala — https://contributors.rubyonrails.org/contributors/lulalala/commits (since 07 Aug 2012, commits 32)
229. Shouichi Kamiya — https://contributors.rubyonrails.org/contributors/shouichi-kamiya/commits (since 14 Oct 2020, commits 32)
230. alpaca-tc — https://contributors.rubyonrails.org/contributors/alpaca-tc/commits (since 19 Jul 2016, commits 31)
231. Benjamin Quorning — https://contributors.rubyonrails.org/contributors/benjamin-quorning/commits (since 13 Jul 2010, commits 31)
232. bhumi1102 — https://contributors.rubyonrails.org/contributors/bhumi1102/commits (since 14 Feb 2024, commits 31)
233. Fumiaki MATSUSHIMA — https://contributors.rubyonrails.org/contributors/fumiaki-matsushima/commits (since 07 Jun 2015, commits 31)
234. Gosha Arinich — https://contributors.rubyonrails.org/contributors/gosha-arinich/commits (since 01 Jan 2013, commits 31)
235. Jacopo — https://contributors.rubyonrails.org/contributors/jacopo/commits (since 20 Jul 2017, commits 31)
236. Jonathan Roes — https://contributors.rubyonrails.org/contributors/jonathan-roes/commits (since 20 Jan 2012, commits 31)
237. Karunakar (Ruby) — https://contributors.rubyonrails.org/contributors/karunakar-ruby/commits (since 21 May 2011, commits 31)
238. Lucas Mazza — https://contributors.rubyonrails.org/contributors/lucas-mazza/commits (since 16 May 2011, commits 31)
